Regime,N_folds,Folds_DS_better,Folds_ST_better,Mean_Delta,Min_Delta,Max_Delta
Sparse,5,5,0,0.0031357525792330087,0.0004295671367556264,0.006433293395358003
Intermediate,5,3,2,-0.0006650881235235357,-0.006117992522290588,0.0026112966281400113
Dense,5,2,3,-0.005927894271125875,-0.02257207758945995,0.0018507226517325975
