Model,N,MAE,RMSE,R2
DeepSets,73114,0.14256068231340704,0.20162250539003368,0.9181856489077501
SetTransformer,73114,0.14481655601531157,0.20583149027562295,0.9147341525192704
MeanPool-MLP,73114,0.18278824688741035,0.24987922599642814,0.8743357394230976
