A,B,N,Delta_MAE,CI95_low,CI95_high,P_boot_A_better
DeepSets,MeanPool-MLP,73114,-0.040227564574003324,-0.04119626480877648,-0.039283560086697186,1.0
SetTransformer,MeanPool-MLP,73114,-0.037971690872098784,-0.03904938101118683,-0.036894033083653764,1.0
SetTransformer,DeepSets,73114,0.0022558737019045404,0.0015059725992634307,0.0030367348102190795,0.0
