Model,Regime,N,MAE,RMSE,R2
DeepSets,Sparse (2-5),59089,0.14840326186124328,0.2084289450424362,0.8978250911815067
MeanPool-MLP,Sparse (2-5),59089,0.18726778703512448,0.25544228801395374,0.8465334291105484
SetTransformer,Sparse (2-5),59089,0.15154198576974895,0.21423830844944483,0.8920500465537144
DeepSets,Intermediate (6-10),11863,0.11853661366224083,0.171156335775259,0.9470119516047029
MeanPool-MLP,Intermediate (6-10),11863,0.16407152017904914,0.22550567940126928,0.9080171350869617
SetTransformer,Intermediate (6-10),11863,0.11782583165786639,0.16853338601819118,0.9486235778892684
DeepSets,Dense (>=11),2162,0.11470006413888757,0.16336792917660925,0.9639186538683091
MeanPool-MLP,Dense (>=11),2162,0.16305882096373295,0.22178082889569228,0.9335037539613724
SetTransformer,Dense (>=11),2162,0.10910519814871728,0.1498858309190248,0.9696282173300559
