Scheme,Regime,N,MAE_DS,MAE_ST,Delta_MAE_ST_minus_DS,Relative_gain_ST_pct,CI95_low,CI95_high,P_boot_ST_better,Conclusion
Main_2-5_6-10_11+,Sparse,59089,0.14840326186124328,0.15154198576974895,0.003138723908505653,-2.1149965769892374,0.002216939723052106,0.004056992632239532,0.0,DS better
Main_2-5_6-10_11+,Intermediate,11863,0.11853661366224083,0.11782583165786639,-0.0007107820043744335,0.5996307658996791,-0.0022988651029613007,0.0007993314848886312,0.8102,Equivalent
Main_2-5_6-10_11+,Dense,2162,0.11470006413888757,0.10910519814871728,-0.005594865990170283,4.877822895892724,-0.009326888656348802,-0.0019979059813366668,0.999,ST better
Alt_2-4_5-9_10+,Sparse,49783,0.15405803845702842,0.15724012825569847,0.0031820897986700497,-2.0655136405346544,0.0021692170658909535,0.004188043072131942,0.0,DS better
Alt_2-4_5-9_10+,Intermediate,20389,0.1180772704820817,0.11903321447321467,0.000955943991132969,-0.8095918776154578,-0.00020738069496639946,0.0021426006541349664,0.0528,Equivalent
Alt_2-4_5-9_10+,Dense,2942,0.11768624415262814,0.11327809709574417,-0.004408147056883981,3.745677405735723,-0.007612893276200216,-0.0013092755267230748,0.9984,ST better
Alt_2-5_6-11_12+,Sparse,59089,0.14840326186124328,0.15154198576974895,0.003138723908505653,-2.1149965769892374,0.002266399776684291,0.0039994496580875085,0.0,DS better
Alt_2-5_6-11_12+,Intermediate,12399,0.11845843455225352,0.11765132394297578,-0.0008071106092777374,0.6813449901886999,-0.0022963420662577404,0.0006931753440037682,0.8542,Equivalent
Alt_2-5_6-11_12+,Dense,1626,0.11403152308120941,0.10756120159030694,-0.006470321490902454,5.674151599548949,-0.010808184653117368,-0.0022771932807869105,0.9984,ST better
